9850;#doc=commentonvideo.2.txt;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAMM
9851;1;€;€;PUNC;;YES;;;;;;;PUNC;€;PUNC
9852;2;Ќ.;Ќ.;INIT abbr;;YES;;н;;;;;INIT;Ќ.;S - - nonflex nonflex
9853;3;ћ.;ћ.;INIT abbr;;YES;;м;;;;;INIT;ћ.;S - - nonflex nonflex
9854;4;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
9855;5;ƒобрый;ƒќЅ–џ…;A - nom sg plen m -;;YES;й;ы;р;б;о;д;A;ƒќЅ–џ…;A - nom sg plen m -
9856;6;вечер;¬≈„≈–;S m inan nom sg;;YES;р;е;ч;е;в;;S;¬≈„≈–;S m inan nom sg
9857;7;!;!;SENT;;YES;;;;;;;SENT;!;SENT
9858;;;;;;YES;;;;;;;;;
9859;1;ћен€;я;S-PRO sg 1p acc;;YES;€;н;е;м;;;S-PRO;я;SPRO sg 1p - acc
9860;2;зовут;«¬ј“№;V ipf praes pl indic - 3p;;YES;т;у;в;о;з;;V;«¬ј“№;V ipf praes pl indic - 3p
9861;3;Ќина;Ќ»Ќј;S f anim nom sg persn;;YES;а;н;и;н;;;S;Ќ»Ќј;S f anim nom sg
9862;4;ћихайловна;ћ»’ј…Ћќ¬Ќј;S f anim nom sg famn;;YES;а;н;в;о;л;й;S;ћ»’ј…Ћќ¬Ќј;S f anim nom sg
9863;5;.;.;SENT;;YES;;;;;;;SENT;.;SENT
9864;;;;;;YES;;;;;;;;;
9865;1;¬;¬;PR;;YES;в;;;;;;PR;¬;PR
9866;2;декабре;ƒ≈ јЅ–№;S m inan loc2 sg;;YES;е;р;б;а;к;е;S;ƒ≈ јЅ–№;S m inan loc sg
9867;3;мес€це;ћ≈—я÷;S m inan loc2 sg;;YES;е;ц;€;с;е;м;S;ћ≈—я÷;S m inan loc sg
9868;4;исполнитс€;»—ѕќЋЌ»“№—я;V pf fut sg indic med 3p;;YES;€;с;т;и;н;л;V;»—ѕќЋЌ»“№—я;V pf fut sg indic - 3p
9869;5;48;48;NUM - - -;;YES;;;;;;;NUM;48;NUM - - -
9870;6;лет;√ќƒ;S m inan gen pl;;YES;т;е;л;;;;S;√ќƒ;S m inan gen pl
9871;7;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
9872;8;как; ј ;CONJ;;YES;к;а;к;;;;CONJ; ј ;CONJ
9873;9;€;я;S-PRO sg 1p - nom;;YES;€;;;;;;S-PRO;я;SPRO sg 1p - nom
9874;10;работаю;–јЅќ“ј“№;V ipf praes sg indic 1p;;YES;ю;а;т;о;б;а;V;–јЅќ“ј“№;V ipf praes sg indic - 1p
9875;11;в;¬;PR;;YES;в;;;;;;PR;¬;PR
9876;12;школе;Ў ќЋј;S f inan loc2 sg;;YES;е;л;о;к;ш;;S;Ў ќЋј;S f inan loc sg
9877;13;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
9878;14;учителем;”„»“≈Ћ№;S m anim ins sg;;YES;м;е;л;е;т;и;S;”„»“≈Ћ№;S m anim ins sg
9879;15;самого;—јћџ…;A gen sg plen m -;;YES;о;г;о;м;а;с;A;—јћџ…;A - gen sg plen m -
9880;16;главного;√Ћј¬Ќџ…;A gen sg plen m -;;YES;о;г;о;н;в;а;A;√Ћј¬Ќџ…;A - gen sg plen m -
9881;17;предмета;ѕ–≈ƒћ≈“;S m inan gen sg;;YES;а;т;е;м;д;е;S;ѕ–≈ƒћ≈“;S m inan gen sg
9882;18;-;-;PUNC;;YES;;;;;;;PUNC;-;PUNC
9883;19;русского;–”—— »…;A gen sg plen m -;;YES;о;г;о;к;с;с;A;–”—— »…;A - gen sg plen m -
9884;20;€зыка;я«џ ;S m inan gen sg;;YES;а;к;ы;з;€;;S;я«џ ;S m inan gen sg
9885;21;и;»;CONJ;;YES;и;;;;;;CONJ;»;CONJ
9886;22;литературы;Ћ»“≈–ј“”–ј;S f inan gen sg;;YES;ы;р;у;т;а;р;S;Ћ»“≈–ј“”–ј;S f inan gen sg
9887;23;.;.;SENT;;YES;;;;;;;SENT;.;SENT
9888;;;;;;YES;;;;;;;;;
9889;1;ј;ј;CONJ;;YES;а;;;;;;CONJ;ј;CONJ
9890;2;сейчас;—≈…„ј—;ADV -;;YES;с;а;ч;й;е;с;ADV;—≈…„ј—;ADV -
9891;3;€;я;S-PRO sg 1p nom;;YES;€;;;;;;S-PRO;я;SPRO sg 1p - nom
9892;4;приехала;ѕ–»≈’ј“№;V pf praet sg indic f 1p;;YES;а;л;а;х;е;и;V;ѕ–»≈’ј“№;V pf praet sg indic f -
9893;5;к; ;PR;;YES;к;;;;;;PR; ;PR
9894;6;внучке;¬Ќ”„ ј;S f anim dat sg;;YES;е;к;ч;у;н;в;S;¬Ќ”„ ј;S f anim loc sg
9895;7;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
9896;8;выполнить;¬џѕќЋЌ»“№;V pf - - inf - -;;YES;ь;т;и;н;л;о;V;¬џѕќЋЌ»“№;V pf - - inf - -
9897;9;еЄ;ќЌј;S-PRO sg 3p f acc;;YES;Є;е;;;;;S-PRO;ќЌј;SPRO sg 3p f acc
9898;10;какое-то; ј ќ…-“ќ;A inan acc sg plen n -;;YES;о;т;;е;о;к;A; ј ќ…-“ќ;A - nom sg plen n -
