9850	#doc=commentonvideo.2.txt	FORM	LEMMA	GRAM	COMMENT	CHECKED	RIGHT1	RIGHT2	RIGHT3	RIGHT4	RIGHT5	RIGHT6	POS	AUTO_LEMMA	AUTO_GRAMM
9851	1	я	я	PUNC		YES							PUNC	я	PUNC
9852	2	Ќ.	Ќ.	INIT abbr		YES		н					INIT	Ќ.	S - - nonflex nonflex
9853	3	Њ.	Њ.	INIT abbr		YES		м					INIT	Њ.	S - - nonflex nonflex
9854	4	@	@	PUNC		YES							PUNC	@	PUNC
9855	5	„обрый	„ЋЃђ›‰	A - nom sg plen m -		YES	й	ы	р	б	о	д	A	„ЋЃђ›‰	A - nom sg plen m -
9856	6	вечер	‚…—…ђ	S m inan nom sg		YES	р	е	ч	е	в		S	‚…—…ђ	S m inan nom sg
9857	7	!	!	SENT		YES							SENT	!	SENT
9858						YES									
9859	1	ЊенЯ	џ	S-PRO sg 1p acc		YES	Я	н	е	м			S-PRO	џ	SPRO sg 1p - acc
9860	2	зовут	‡‚Ђ’њ	V ipf praes pl indic - 3p		YES	т	у	в	о	з		V	‡‚Ђ’њ	V ipf praes pl indic - 3p
9861	3	Ќина	Ќ€ЌЂ	S f anim nom sg persn		YES	а	н	и	н			S	Ќ€ЌЂ	S f anim nom sg
9862	4	Њихайловна	Њ€•Ђ‰‹Ћ‚ЌЂ	S f anim nom sg famn		YES	а	н	в	о	л	й	S	Њ€•Ђ‰‹Ћ‚ЌЂ	S f anim nom sg
9863	5	.	.	SENT		YES							SENT	.	SENT
9864						YES									
9865	1	‚	‚	PR		YES	в						PR	‚	PR
9866	2	декабре	„…ЉЂЃђњ	S m inan loc2 sg		YES	е	р	б	а	к	е	S	„…ЉЂЃђњ	S m inan loc sg
9867	3	месЯце	Њ…‘џ–	S m inan loc2 sg		YES	е	ц	Я	с	е	м	S	Њ…‘џ–	S m inan loc sg
9868	4	исполнитсЯ	€‘ЏЋ‹Ќ€’њ‘џ	V pf fut sg indic med 3p		YES	Я	с	т	и	н	л	V	€‘ЏЋ‹Ќ€’њ‘џ	V pf fut sg indic - 3p
9869	5	48	48	NUM - - -		YES							NUM	48	NUM - - -
9870	6	лет	ѓЋ„	S m inan gen pl		YES	т	е	л				S	ѓЋ„	S m inan gen pl
9871	7	,	,	PUNC		YES							PUNC	,	PUNC
9872	8	как	ЉЂЉ	CONJ		YES	к	а	к				CONJ	ЉЂЉ	CONJ
9873	9	Я	џ	S-PRO sg 1p - nom		YES	Я						S-PRO	џ	SPRO sg 1p - nom
9874	10	работаю	ђЂЃЋ’Ђ’њ	V ipf praes sg indic 1p		YES	ю	а	т	о	б	а	V	ђЂЃЋ’Ђ’њ	V ipf praes sg indic - 1p
9875	11	в	‚	PR		YES	в						PR	‚	PR
9876	12	школе	ЉЋ‹Ђ	S f inan loc2 sg		YES	е	л	о	к	ш		S	ЉЋ‹Ђ	S f inan loc sg
9877	13	,	,	PUNC		YES							PUNC	,	PUNC
9878	14	учителем	“—€’…‹њ	S m anim ins sg		YES	м	е	л	е	т	и	S	“—€’…‹њ	S m anim ins sg
9879	15	самого	‘ЂЊ›‰	A gen sg plen m -		YES	о	г	о	м	а	с	A	‘ЂЊ›‰	A - gen sg plen m -
